EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,TotalWorkingYears,NumCompaniesWorked,DistanceFromHome,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,PerformanceRating,TrainingTimesLastYear,StockOptionLevel,Attrition
EMP0021,60,Female,Divorced,Research & Development,Research Director,Medical,2,14786,20,24,5,29,6,7,No,3,4,1,3,6,2,No
EMP0022,31,Male,Married,Research & Development,Laboratory Technician,Human Resources,5,11992,24,5,5,13,7,8,No,2,2,2,3,4,0,No
EMP0023,58,Female,Married,Research & Development,Research Director,Medical,2,1190,23,6,6,33,7,4,Yes,4,1,2,4,1,3,No
EMP0024,56,Female,Divorced,Research & Development,Research Director,Technical Degree,2,16563,15,28,8,20,4,3,No,3,4,2,3,1,2,No
EMP0025,23,Female,Divorced,Sales,Sales Executive,Medical,2,3113,20,26,13,5,6,14,No,4,4,1,3,6,0,No
EMP0026,18,Female,Married,Research & Development,Manufacturing Director,Human Resources,5,8235,13,31,7,0,6,22,Yes,4,1,4,3,5,3,No
EMP0027,52,Male,Single,Sales,Sales Representative,Other,4,5455,23,29,5,16,6,11,Yes,4,3,2,3,2,3,No
EMP0028,48,Male,Married,Sales,Manager,Medical,1,2328,14,1,1,16,1,22,Yes,1,2,2,3,4,3,Yes
EMP0029,28,Male,Married,Research & Development,Research Scientist,Life Sciences,5,1850,22,19,18,10,3,23,No,4,4,2,3,0,2,No
EMP0030,54,Female,Divorced,Research & Development,Manufacturing Director,Marketing,1,17588,13,21,0,11,7,21,No,4,1,4,4,5,3,No
EMP0031,59,Female,Married,Sales,Manager,Technical Degree,5,9803,21,20,7,21,9,15,No,1,3,4,3,4,3,Yes
EMP0032,38,Female,Married,Sales,Sales Executive,Marketing,3,10061,14,35,0,20,8,16,No,2,1,2,3,6,3,Yes
EMP0033,19,Female,Divorced,Sales,Sales Executive,Medical,3,13101,14,30,17,1,4,9,No,4,3,3,3,2,0,No
EMP0034,52,Male,Single,Research & Development,Laboratory Technician,Other,4,10069,22,37,16,17,4,6,No,1,2,3,3,0,1,Yes
EMP0035,21,Female,Single,Research & Development,Laboratory Technician,Life Sciences,5,10326,12,30,15,3,1,16,No,2,1,3,4,6,3,Yes
EMP0036,58,Male,Divorced,Research & Development,Laboratory Technician,Marketing,1,9141,15,7,7,39,9,10,No,2,4,4,4,3,0,No
EMP0037,24,Male,Married,Research & Development,Laboratory Technician,Other,1,6155,11,15,5,6,7,20,No,2,1,4,3,2,1,No
EMP0038,47,Female,Divorced,Sales,Sales Executive,Human Resources,2,14939,22,7,7,28,4,6,Yes,2,3,2,3,4,2,Yes
EMP0039,37,Female,Married,Research & Development,Manufacturing Director,Life Sciences,5,2315,11,27,10,19,9,27,No,1,1,2,4,4,2,Yes
EMP0040,29,Female,Single,Research & Development,Research Director,Human Resources,4,17121,18,5,5,11,6,11,No,3,3,1,4,5,2,No
EMP0041,53,Female,Married,Sales,Sales Executive,Marketing,1,14253,18,32,0,3,9,12,No,4,4,1,3,6,3,No
EMP0042,53,Female,Divorced,Sales,Sales Representative,Technical Degree,1,1954,12,40,7,31,1,27,No,3,1,4,3,3,1,No
EMP0043,36,Female,Married,Research & Development,Manufacturing Director,Technical Degree,2,15976,25,35,4,0,6,28,No,2,1,3,3,2,2,Yes
EMP0044,37,Male,Married,Research & Development,Research Director,Human Resources,4,12318,17,21,17,19,3,23,No,4,4,3,4,4,1,Yes
EMP0045,48,Female,Divorced,Research & Development,Research Director,Other,2,17239,13,2,2,9,0,15,No,3,1,4,3,5,3,Yes
EMP0046,34,Male,Married,Research & Development,Research Director,Other,5,13461,12,20,15,6,3,10,No,1,1,2,3,5,3,No
EMP0047,24,Male,Single,Research & Development,Manufacturing Director,Marketing,1,10622,17,22,11,6,9,3,No,2,4,2,3,6,1,No
EMP0048,27,Female,Married,Sales,Manager,Marketing,1,16254,24,18,17,9,4,14,Yes,4,3,3,3,3,2,No
EMP0049,48,Female,Divorced,Sales,Sales Representative,Marketing,3,1727,16,25,8,30,9,8,Yes,1,4,3,3,6,1,Yes
EMP0050,34,Male,Divorced,Research & Development,Laboratory Technician,Other,1,11132,13,28,1,16,2,14,No,2,1,3,3,1,2,No
EMP0051,35,Female,Married,Research & Development,Manufacturing Director,Other,3,4782,19,29,2,17,0,13,Yes,2,4,3,3,2,0,Yes
EMP0052,34,Male,Divorced,Research & Development,Manufacturing Director,Medical,4,1829,13,39,17,2,6,10,No,2,1,4,4,0,0,Yes
EMP0053,49,Male,Married,Sales,Sales Executive,Technical Degree,3,18710,11,26,18,13,6,20,No,2,4,1,3,2,2,No
EMP0054,33,Female,Divorced,Research & Development,Research Scientist,Other,3,2993,11,25,8,15,9,21,Yes,1,4,1,3,0,2,No
EMP0055,54,Male,Divorced,Sales,Manager,Medical,2,11775,11,9,0,15,0,4,Yes,2,2,3,3,1,2,No
EMP0056,19,Male,Divorced,Sales,Sales Executive,Technical Degree,5,4733,23,4,4,1,0,20,No,3,1,4,3,5,2,No
EMP0057,19,Female,Married,Sales,Sales Representative,Other,1,17074,22,28,2,1,9,20,No,3,2,1,3,4,2,No
EMP0058,51,Female,Single,Sales,Manager,Other,1,19075,12,13,13,27,6,13,No,2,4,3,3,5,2,No
EMP0059,34,Female,Single,Research & Development,Laboratory Technician,Life Sciences,1,4063,21,27,3,16,8,18,No,3,2,1,3,2,0,Yes
EMP0060,60,Male,Married,Research & Development,Research Director,Human Resources,3,12531,12,6,6,36,8,12,No,2,4,2,3,2,2,Yes
EMP0061,45,Female,Single,Research & Development,Research Scientist,Medical,3,11133,22,21,11,24,0,21,Yes,2,4,1,3,0,1,Yes
EMP0062,39,Female,Divorced,Sales,Sales Representative,Human Resources,1,2732,18,9,5,17,7,14,No,1,1,3,3,4,3,Yes
EMP0063,50,Male,Married,Sales,Sales Representative,Other,5,16954,15,33,9,20,2,7,Yes,4,1,1,3,6,2,Yes
EMP0064,49,Male,Married,Research & Development,Laboratory Technician,Human Resources,2,17401,17,35,11,31,5,3,Yes,1,4,1,3,4,3,Yes
EMP0065,25,Male,Divorced,Research & Development,Manufacturing Director,Technical Degree,3,3896,16,27,3,4,5,24,Yes,4,1,4,4,1,1,No
EMP0066,25,Female,Married,Research & Development,Laboratory Technician,Other,2,8751,23,6,4,7,7,25,Yes,2,2,1,3,3,3,Yes
EMP0067,57,Male,Married,Research & Development,Manufacturing Director,Life Sciences,4,15499,16,40,9,4,0,15,No,1,3,1,3,0,2,No
EMP0068,23,Female,Divorced,Research & Development,Research Director,Human Resources,1,15745,12,36,6,2,5,26,No,4,2,1,3,5,1,Yes
EMP0069,46,Female,Married,Human Resources,Human Resources,Marketing,4,14403,15,21,1,21,6,22,No,3,1,3,3,2,1,Yes
EMP0070,60,Female,Divorced,Sales,Sales Representative,Other,4,5234,21,38,2,32,8,27,No,4,3,2,3,0,3,No
EMP0071,41,Female,Married,Sales,Sales Executive,Medical,2,5516,17,9,2,10,2,20,No,1,1,3,4,4,1,Yes
EMP0072,57,Female,Single,Research & Development,Laboratory Technician,Technical Degree,3,8792,14,28,9,36,7,26,No,4,2,2,3,6,2,No
EMP0073,47,Female,Single,Research & Development,Research Director,Medical,5,5544,18,16,1,27,2,25,No,3,1,1,3,2,1,Yes
EMP0074,32,Male,Married,Research & Development,Manufacturing Director,Life Sciences,4,17458,13,23,7,2,5,4,No,1,3,2,3,6,1,Yes
EMP0075,48,Female,Married,Research & Development,Laboratory Technician,Human Resources,1,3605,11,1,1,26,4,8,Yes,2,4,1,3,0,1,Yes
EMP0076,57,Female,Divorced,Research & Development,Research Scientist,Human Resources,1,17896,13,36,7,33,9,8,No,3,4,1,3,3,0,No
EMP0077,22,Female,Married,Research & Development,Research Scientist,Life Sciences,4,13241,20,16,0,4,1,21,No,1,3,2,3,6,2,Yes
EMP0078,52,Female,Divorced,Research & Development,Laboratory Technician,Technical Degree,2,5427,17,4,4,16,4,11,Yes,2,1,2,4,4,3,Yes
EMP0079,59,Male,Divorced,Sales,Sales Representative,Marketing,3,5087,25,23,13,5,7,16,No,4,4,3,4,2,2,No
EMP0080,23,Female,Married,Research & Development,Laboratory Technician,Life Sciences,1,11754,17,18,9,5,5,2,No,4,2,4,3,4,2,No
EMP0081,21,Female,Married,Sales,Manager,Human Resources,2,2029,13,9,9,3,0,19,Yes,1,2,3,3,4,3,Yes
EMP0082,22,Female,Married,Research & Development,Manufacturing Director,Other,3,9188,20,7,0,4,7,9,No,4,4,1,3,1,2,No
EMP0083,26,Male,Divorced,Research & Development,Research Director,Technical Degree,1,11481,16,22,2,7,2,23,No,3,3,2,3,6,1,No
EMP0084,26,Male,Married,Sales,Sales Representative,Human Resources,5,13097,17,29,17,8,7,23,Yes,1,1,3,3,4,3,Yes
EMP0085,38,Female,Divorced,Research & Development,Research Director,Human Resources,3,5214,13,35,18,20,2,17,Yes,2,4,1,3,2,1,No
EMP0086,32,Male,Married,Research & Development,Manufacturing Director,Medical,5,10002,24,8,8,1,9,20,No,1,2,2,3,2,0,Yes
EMP0087,59,Male,Divorced,Research & Development,Manufacturing Director,Technical Degree,5,2001,18,31,17,3,6,22,No,3,4,2,3,2,0,Yes
EMP0088,44,Female,Divorced,Research & Development,Laboratory Technician,Medical,3,11472,14,22,12,6,4,4,Yes,3,1,3,3,3,1,Yes
EMP0089,42,Male,Single,Research & Development,Research Director,Marketing,5,11256,18,12,5,13,6,3,No,4,4,3,3,4,1,No
EMP0090,21,Female,Married,Sales,Sales Representative,Human Resources,1,4531,14,27,4,3,9,2,No,3,4,3,3,4,2,No
EMP0091,42,Male,Single,Research & Development,Manufacturing Director,Life Sciences,4,13237,22,21,17,24,0,2,No,2,2,4,3,1,2,No
EMP0092,27,Female,Divorced,Research & Development,Laboratory Technician,Marketing,2,13885,12,39,9,9,5,12,No,4,3,4,3,5,3,No
EMP0093,58,Female,Divorced,Sales,Sales Representative,Human Resources,5,8465,11,3,3,20,1,23,No,4,2,2,3,1,3,No
EMP0094,44,Female,Divorced,Research & Development,Research Director,Other,1,5533,19,33,6,16,8,15,No,4,4,3,4,2,2,No
EMP0095,30,Female,Single,Research & Development,Manufacturing Director,Marketing,3,7801,24,31,10,9,6,18,No,3,3,1,3,3,2,Yes
EMP0096,36,Female,Married,Research & Development,Research Scientist,Other,3,16707,14,13,6,18,9,24,No,3,3,2,3,1,0,Yes
EMP0097,32,Female,Divorced,Sales,Sales Representative,Technical Degree,1,5513,15,0,0,5,4,7,No,2,4,4,3,2,0,No
EMP0098,32,Male,Married,Research & Development,Research Scientist,Medical,1,14017,15,31,5,14,1,20,No,3,1,1,3,2,3,No
EMP0099,26,Female,Single,Research & Development,Research Director,Life Sciences,3,6333,20,29,8,8,3,25,No,1,3,3,3,1,3,No
EMP0100,23,Male,Single,Research & Development,Research Scientist,Technical Degree,3,9137,15,0,0,5,9,24,No,4,3,3,3,0,2,Yes
EMP0101,25,Female,Divorced,Research & Development,Laboratory Technician,Human Resources,3,4856,17,40,9,7,9,15,No,2,2,2,3,2,3,No
EMP0102,31,Female,Divorced,Research & Development,Research Scientist,Other,3,3568,21,36,3,13,7,17,Yes,2,2,2,3,0,1,Yes
EMP0103,50,Female,Single,Research & Development,Research Scientist,Human Resources,4,15977,12,36,1,27,3,1,No,3,1,4,3,4,0,No
EMP0104,22,Male,Married,Research & Development,Research Scientist,Life Sciences,3,14406,21,11,4,4,6,13,No,4,3,4,3,0,1,No
EMP0105,52,Male,Single,Research & Development,Laboratory Technician,Life Sciences,3,16180,23,34,13,2,3,9,No,2,2,4,3,5,0,No
EMP0106,44,Male,Single,Research & Development,Research Scientist,Life Sciences,1,2109,19,28,1,14,0,7,Yes,1,4,4,3,1,2,No
EMP0107,54,Male,Married,Research & Development,Manufacturing Director,Medical,5,8252,19,26,9,26,6,12,Yes,2,4,4,3,6,2,Yes
EMP0108,37,Male,Single,Research & Development,Research Director,Marketing,2,16181,12,3,3,19,5,7,No,4,2,4,3,5,3,Yes
EMP0109,30,Male,Single,Sales,Sales Representative,Medical,5,19321,23,13,13,12,1,7,Yes,3,3,1,3,5,3,No
EMP0110,31,Female,Married,Research & Development,Laboratory Technician,Technical Degree,4,18495,24,22,9,13,7,24,Yes,4,4,1,3,6,2,Yes
EMP0111,44,Male,Single,Sales,Sales Executive,Marketing,5,19986,21,26,9,16,7,8,Yes,3,2,4,3,4,2,No
EMP0112,49,Female,Single,Human Resources,HR Manager,Other,3,6555,11,8,8,8,0,22,No,1,1,1,4,6,3,No
EMP0113,32,Male,Single,Sales,Sales Executive,Human Resources,4,13238,15,3,3,14,4,17,No,1,1,4,3,4,0,No
EMP0114,45,Male,Single,Research & Development,Laboratory Technician,Human Resources,2,8905,14,12,12,19,7,13,Yes,3,3,4,3,4,1,No
EMP0115,23,Male,Married,Research & Development,Research Scientist,Technical Degree,4,19119,24,30,1,5,5,21,No,2,1,4,3,4,0,No
EMP0116,32,Female,Married,Sales,Manager,Life Sciences,1,10196,24,34,18,4,2,19,No,2,3,1,4,6,3,Yes
EMP0117,54,Female,Married,Sales,Sales Representative,Other,2,3578,17,32,11,1,9,25,Yes,4,2,1,3,4,2,No
EMP0118,46,Female,Married,Research & Development,Manufacturing Director,Medical,5,13463,17,5,5,23,2,23,No,1,1,3,3,5,2,Yes
EMP0119,18,Female,Married,Research & Development,Research Director,Life Sciences,2,3869,20,11,11,0,1,18,No,4,1,1,3,4,2,Yes
EMP0120,44,Male,Divorced,Research & Development,Research Scientist,Human Resources,2,13484,15,10,4,4,4,14,Yes,3,4,2,3,3,3,Yes
EMP0121,33,Male,Married,Research & Development,Research Director,Life Sciences,2,10992,15,0,0,15,9,27,No,4,3,4,3,1,2,No
EMP0122,30,Female,Married,Research & Development,Laboratory Technician,Marketing,4,19879,13,15,10,12,9,7,No,4,3,1,4,4,0,No
EMP0123,31,Male,Married,Research & Development,Manufacturing Director,Other,4,5569,17,40,9,13,7,20,Yes,2,4,4,3,4,3,Yes
EMP0124,41,Male,Single,Research & Development,Research Scientist,Other,3,6459,19,39,1,23,4,4,No,4,3,4,3,1,1,No
EMP0125,47,Female,Single,Research & Development,Laboratory Technician,Technical Degree,1,10689,18,26,2,29,3,26,Yes,2,3,3,3,4,2,Yes
EMP0126,46,Male,Divorced,Research & Development,Manufacturing Director,Life Sciences,1,12250,23,6,5,28,7,14,No,2,2,2,3,1,3,Yes
EMP0127,58,Male,Divorced,Research & Development,Research Director,Human Resources,2,15740,12,37,13,23,1,26,No,2,2,3,3,4,1,Yes
EMP0128,47,Female,Divorced,Sales,Manager,Other,3,13743,20,39,12,8,4,27,No,3,3,4,3,4,0,No
EMP0129,33,Female,Divorced,Sales,Sales Executive,Medical,5,13738,13,26,4,15,2,23,No,4,2,4,3,4,3,Yes
EMP0130,38,Female,Single,Research & Development,Research Scientist,Technical Degree,2,7402,13,24,17,20,7,27,No,4,4,4,3,3,0,Yes
EMP0131,32,Male,Divorced,Sales,Sales Representative,Marketing,2,15994,24,36,15,14,5,27,No,1,1,3,3,4,0,No
EMP0132,45,Male,Married,Sales,Manager,Life Sciences,4,9620,22,22,2,10,5,19,No,1,2,2,3,6,3,No
EMP0133,31,Female,Divorced,Research & Development,Research Scientist,Marketing,5,18663,23,10,10,3,1,17,No,3,3,3,4,1,3,No
EMP0134,59,Male,Single,Sales,Sales Executive,Other,3,9120,19,25,15,23,1,21,Yes,3,4,4,3,3,2,Yes
EMP0135,49,Male,Divorced,Research & Development,Research Scientist,Technical Degree,3,3084,19,34,12,31,4,27,Yes,4,2,4,3,2,1,No
EMP0136,39,Male,Single,Research & Development,Research Scientist,Other,4,1542,24,7,5,5,4,5,No,1,4,2,4,1,2,No
EMP0137,34,Male,Single,Sales,Manager,Technical Degree,3,8681,21,27,2,0,3,19,No,1,2,4,3,4,3,Yes
EMP0138,39,Male,Married,Research & Development,Research Director,Life Sciences,2,13561,21,5,3,4,2,27,Yes,3,3,2,3,5,1,No
EMP0139,18,Female,Married,Research & Development,Laboratory Technician,Other,2,5969,17,26,14,0,6,19,No,1,1,2,3,2,2,Yes
EMP0140,59,Female,Divorced,Sales,Manager,Life Sciences,3,7741,17,33,16,15,3,26,Yes,4,3,1,3,3,0,Yes
EMP0141,56,Female,Married,Sales,Sales Executive,Medical,4,19633,14,26,11,3,0,3,No,2,4,1,3,2,0,No
EMP0142,43,Female,Divorced,Research & Development,Research Director,Technical Degree,1,18591,17,34,4,19,8,5,Yes,3,1,2,4,2,0,No
EMP0143,33,Female,Single,Sales,Sales Executive,Technical Degree,5,2812,23,19,5,10,8,12,Yes,2,1,2,3,4,2,Yes
EMP0144,35,Male,Married,Research & Development,Research Scientist,Technical Degree,3,18174,20,4,4,17,7,2,No,1,4,4,3,6,1,Yes
EMP0145,24,Male,Divorced,Research & Development,Research Scientist,Human Resources,1,2452,23,0,0,6,0,28,Yes,3,4,2,3,4,3,Yes
EMP0146,44,Female,Single,Research & Development,Manufacturing Director,Human Resources,3,4921,24,32,1,20,4,28,Yes,1,4,1,4,6,2,Yes
EMP0147,47,Female,Divorced,Sales,Sales Executive,Marketing,5,8957,19,29,11,29,0,14,No,4,2,2,3,1,2,No
EMP0148,18,Female,Divorced,Research & Development,Research Scientist,Other,3,4415,11,13,13,0,4,5,No,4,4,1,4,0,1,No
EMP0149,41,Male,Divorced,Research & Development,Research Scientist,Medical,4,3461,24,37,18,20,6,11,Yes,2,2,3,3,5,2,Yes
EMP0150,32,Male,Divorced,Sales,Sales Executive,Life Sciences,2,4471,18,10,10,7,7,7,No,4,1,3,4,2,2,Yes
EMP0151,37,Male,Married,Research & Development,Research Scientist,Medical,1,9142,22,22,12,6,7,13,No,3,3,2,3,4,1,No
EMP0152,26,Male,Single,Sales,Sales Executive,Medical,4,13206,13,40,2,8,7,7,No,3,1,1,4,6,0,Yes
EMP0153,47,Female,Divorced,Sales,Manager,Technical Degree,4,1975,20,24,13,18,2,29,Yes,2,2,3,3,0,1,Yes
EMP0154,53,Female,Married,Research & Development,Research Scientist,Medical,4,7544,25,33,7,24,7,26,No,1,4,3,3,2,2,Yes
EMP0155,19,Male,Married,Research & Development,Laboratory Technician,Life Sciences,4,18357,23,22,18,1,8,9,No,2,1,2,3,6,0,No
EMP0156,42,Male,Single,Research & Development,Laboratory Technician,Human Resources,3,12765,15,37,0,24,7,26,No,3,2,2,3,4,1,Yes
EMP0157,21,Male,Divorced,Sales,Sales Executive,Technical Degree,1,11879,25,39,6,3,9,5,No,3,2,3,3,5,1,No
EMP0158,41,Female,Divorced,Human Resources,HR Manager,Life Sciences,3,10897,16,20,4,23,9,18,No,4,4,3,3,6,1,No
EMP0159,42,Female,Single,Sales,Manager,Medical,1,19779,12,25,18,22,5,5,Yes,3,2,1,4,5,1,No
EMP0160,28,Female,Married,Research & Development,Research Scientist,Life Sciences,3,7879,25,15,2,10,6,24,No,1,1,1,3,1,3,No
EMP0161,40,Female,Divorced,Research & Development,Research Scientist,Other,2,6338,13,28,2,10,1,4,No,1,3,1,3,2,3,No
EMP0162,53,Female,Divorced,Research & Development,Research Scientist,Human Resources,4,2024,22,27,5,18,3,7,No,4,2,1,3,3,2,Yes
EMP0163,24,Female,Single,Sales,Manager,Life Sciences,3,1134,18,27,2,6,4,6,No,4,2,1,3,0,0,No
EMP0164,48,Male,Divorced,Research & Development,Manufacturing Director,Human Resources,4,7067,15,23,12,9,3,9,No,4,1,3,3,6,0,No
EMP0165,60,Female,Divorced,Sales,Manager,Technical Degree,5,8464,22,35,1,32,6,3,No,4,4,2,3,6,0,No
EMP0166,51,Male,Married,Research & Development,Laboratory Technician,Medical,2,7952,20,12,4,20,2,21,Yes,1,4,2,4,6,2,No
EMP0167,22,Female,Divorced,Sales,Manager,Marketing,3,18038,23,29,0,4,9,19,No,4,1,4,3,4,0,No
EMP0168,24,Female,Married,Research & Development,Manufacturing Director,Technical Degree,4,19753,17,38,15,6,6,22,Yes,3,4,2,3,0,2,Yes
EMP0169,48,Male,Married,Research & Development,Manufacturing Director,Marketing,3,10195,22,31,3,30,5,15,No,2,2,3,4,2,3,No
EMP0170,30,Female,Divorced,Research & Development,Research Director,Marketing,1,17893,11,10,2,2,3,29,No,4,2,1,3,6,1,No
EMP0171,41,Female,Married,Research & Development,Manufacturing Director,Human Resources,4,5068,24,1,1,5,5,12,No,4,2,4,3,1,2,No
EMP0172,42,Male,Single,Sales,Manager,Other,2,7783,15,17,13,17,0,20,No,1,4,2,3,1,2,Yes
EMP0173,42,Female,Single,Research & Development,Research Director,Technical Degree,3,18069,16,39,12,24,7,4,No,1,3,3,3,0,2,No
EMP0174,35,Female,Single,Sales,Manager,Medical,5,8883,17,3,3,17,6,9,No,2,1,4,4,3,0,No
EMP0175,54,Male,Divorced,Research & Development,Manufacturing Director,Human Resources,4,12756,23,32,9,21,4,24,No,2,3,1,3,5,1,No
EMP0176,32,Female,Married,Research & Development,Manufacturing Director,Marketing,3,10644,15,29,3,3,6,28,No,1,4,2,3,4,3,No
EMP0177,27,Female,Married,Sales,Sales Executive,Human Resources,4,5702,15,20,5,9,0,2,No,4,3,2,3,3,1,No
EMP0178,28,Male,Divorced,Research & Development,Research Scientist,Technical Degree,4,14227,24,27,15,1,5,29,No,1,2,3,4,6,1,No
EMP0179,58,Female,Married,Research & Development,Laboratory Technician,Medical,1,13577,19,32,18,27,8,15,No,1,1,3,4,4,2,No
EMP0180,26,Female,Single,Research & Development,Research Director,Medical,4,1635,22,14,7,8,1,6,No,2,2,1,3,2,0,No
EMP0181,34,Male,Divorced,Research & Development,Research Scientist,Life Sciences,1,2589,17,7,7,16,0,7,No,1,3,4,3,2,0,Yes
EMP0182,56,Male,Divorced,Research & Development,Research Director,Other,5,4866,16,18,3,18,8,27,No,4,2,2,3,1,3,Yes
EMP0183,53,Female,Married,Research & Development,Laboratory Technician,Medical,1,1426,21,5,3,29,1,3,No,4,2,1,3,2,1,No
EMP0184,36,Male,Single,Sales,Sales Executive,Life Sciences,3,12812,16,20,13,18,2,22,No,1,1,1,4,2,3,Yes
EMP0185,23,Male,Single,Research & Development,Manufacturing Director,Technical Degree,4,15968,13,17,12,5,0,23,No,4,4,2,3,6,0,No
EMP0186,48,Male,Divorced,Research & Development,Research Director,Technical Degree,3,1953,22,8,8,21,5,9,No,1,4,4,3,0,1,No
EMP0187,57,Male,Married,Sales,Manager,Marketing,4,5880,14,35,1,17,7,3,Yes,2,4,4,4,2,2,Yes
EMP0188,32,Female,Single,Research & Development,Research Director,Life Sciences,4,15564,17,36,14,2,0,16,Yes,4,4,3,3,0,3,No
EMP0189,18,Male,Divorced,Research & Development,Manufacturing Director,Other,4,12178,12,23,1,0,7,12,No,4,3,4,3,0,1,No
EMP0190,58,Female,Divorced,Human Resources,HR Manager,Life Sciences,1,6388,17,31,4,29,1,7,No,4,1,3,3,6,1,No
EMP0191,30,Female,Single,Research & Development,Research Scientist,Other,5,5046,24,28,14,12,8,2,No,2,4,1,3,3,3,No
EMP0192,29,Male,Single,Research & Development,Laboratory Technician,Technical Degree,5,11555,13,32,12,11,7,10,No,2,3,4,4,6,1,No
EMP0193,50,Female,Divorced,Sales,Manager,Other,5,8130,19,12,6,7,2,21,No,3,3,2,4,4,2,No
EMP0194,53,Female,Married,Research & Development,Research Director,Life Sciences,5,4497,15,1,1,3,4,6,Yes,1,2,3,3,5,1,No
EMP0195,36,Male,Married,Sales,Manager,Technical Degree,1,19420,11,14,14,16,5,26,No,3,1,4,3,4,0,Yes
EMP0196,46,Male,Divorced,Research & Development,Manufacturing Director,Medical,3,15715,13,11,2,28,8,9,Yes,2,1,4,3,2,1,No
EMP0197,18,Male,Single,Research & Development,Laboratory Technician,Marketing,5,2675,23,40,9,0,8,6,No,3,1,3,3,0,1,No
EMP0198,43,Male,Divorced,Sales,Sales Executive,Marketing,3,12831,20,18,6,2,3,15,No,4,1,1,3,5,1,No
EMP0199,38,Female,Married,Research & Development,Research Scientist,Human Resources,3,1818,19,33,11,6,3,21,No,4,4,1,3,2,0,Yes
EMP0200,52,Male,Divorced,Research & Development,Research Scientist,Other,2,14909,12,6,6,3,5,23,No,4,1,2,3,0,0,Yes
EMP0201,34,Female,Married,Research & Development,Laboratory Technician,Technical Degree,4,14261,24,27,10,16,0,19,Yes,1,1,1,3,5,0,No
EMP0202,24,Female,Divorced,Sales,Manager,Life Sciences,3,15350,23,24,12,6,6,5,No,1,4,2,3,6,2,Yes
EMP0203,59,Male,Single,Research & Development,Research Scientist,Life Sciences,1,19775,17,38,12,10,5,29,No,1,3,2,3,1,1,Yes
EMP0204,57,Male,Single,Research & Development,Laboratory Technician,Other,5,2791,16,35,14,8,9,7,No,1,3,1,3,3,2,No
